Time,Data
283,7.28047373831356e-09
284,1.8952308238427392e-08
285,1.5495766245329905e-08
286,1.1000151934753055e-08
287,8.404898838738291e-09
288,8.870657397213203e-09
289,1.434025011783649e-08
290,4.871394749430454e-09
291,8.183073904975887e-09
292,7.519379297292179e-09
293,1.591084956113751e-08
294,1.8192959333423515e-08
295,1.5033486603101414e-08
296,9.103209481462043e-09
297,1.973378405269886e-08
298,1.1395191826866784e-08
299,7.714830326587225e-09
300,2.3594015566494504e-08
301,1.0517550695133846e-08
302,1.3611293305034274e-08
303,9.635995001524836e-09
304,7.899674440083154e-09
305,1.7779231687642778e-09
306,1.0167226626198402e-08
307,1.7468969228826086e-08
308,9.314355972000235e-09
309,9.765485579877575e-09
310,7.590180837293916e-09
311,9.543964344215075e-09
312,2.3273761985572046e-09
313,1.2244328044871333e-08
314,2.074823406580234e-08
315,8.458647771294298e-09
316,2.0108448882932772e-08
317,1.1884591799370025e-08
318,3.78462067125008e-09
319,1.4192246688049695e-08
320,1.8866487127811384e-08
321,1.0826691234653457e-08
322,2.308874287002699e-08
323,7.086592535067655e-09
324,1.607421237852204e-08
325,7.2645889075149314e-09
326,1.1363789449344582e-08
327,7.4358686991397966e-09
328,1.927025759348488e-09
329,2.2431384633470647e-08
330,6.547303783671074e-09
331,8.31808432705472e-09
332,1.4071730378143314e-08
333,1.8052363356423644e-08
334,9.813592066891352e-09
335,1.0376961440358806e-08
336,9.889432869245037e-09
337,1.909886524902581e-08
338,6.028295013483741e-09
339,1.2076021462439944e-08
340,7.913928864563408e-09
341,5.83748104761431e-09
342,1.1678311413610675e-08
343,1.5737711777031027e-08
344,9.296664510557628e-09
345,3.0210454380007342e-09
346,1.1705961852083944e-08
347,4.8394254349031815e-09
348,1.2088584489969594e-08
349,6.6249280428811935e-09
350,2.16651221000985e-08
351,4.301821494170233e-09
352,1.5174428404626373e-08
353,6.020335618833717e-09
354,1.2115690088633214e-08
355,9.612448920939443e-09
356,1.0186354908654452e-08
357,2.0658366412071966e-08
358,4.763397079712234e-09
359,1.2401772362528276e-08
360,3.935831983856298e-09
361,1.0818245463380605e-08
362,1.2362965565490242e-08
363,1.97793550993923e-08
364,1.9248762480259895e-08
365,8.911159280360673e-09
366,1.6766423052684627e-08
367,1.2062434752589583e-08
368,1.8899532300369954e-08
369,1.964431690272346e-08
370,1.3710520969433334e-08
371,7.456008012242253e-09
372,1.0169142158946545e-08
373,6.8916470762948844e-09
374,1.3045806893490253e-08
375,2.3474838106850815e-08
376,1.9544418894759663e-09
377,1.4700508540168734e-08
378,7.1499603986637056e-09
379,3.78864798407945e-09
380,1.2496938198105043e-08
381,8.868145659189966e-09
382,1.1474926002125909e-08
383,8.252218019981335e-09
384,1.2998901229517458e-08
385,7.473308728365086e-09
386,7.302183286978118e-09
387,9.384890692514751e-09
388,4.288591159010005e-09
389,2.5414355738079315e-09
390,9.278635374567708e-09
391,1.6707058153893013e-08
392,1.1905214083986136e-08
393,1.1207224109691661e-08
394,1.2065944107028037e-08
395,7.202332039725333e-09
396,1.838357363920602e-08
397,8.96674815417429e-09
398,1.0336404908142844e-08
399,6.3864859237587666e-09
400,1.390768565395402e-08
401,8.492142937049105e-09
402,1.1843635311123908e-08
403,1.535663198171803e-08
404,1.7920239050746902e-09
405,1.752187317898591e-08
406,5.872561061930312e-09
407,1.2089243106298487e-08
408,8.31127542588492e-09
409,1.4730866923752164e-08
410,5.9454913655356694e-09
411,2.297045602325801e-09
412,3.1723552797033326e-09
413,1.4079105973627799e-08
414,1.4884569055599776e-08
415,9.848745838926912e-09
416,1.7033975212316396e-08
417,4.552891048221882e-09
